Rang,Modell,Entwickler,Score,Level
1,Claude Opus 5.5,Anthropic,1000000000000.0,Frontier
2,Claude Fable 5.1,Anthropic,996600000000.0,Frontier
3,GPT-6 Astra Codex,OpenAI,989500000000.0,Frontier
4,GPT-6 Astra,OpenAI,987300000000.0,Frontier
5,Claude Opus 5,Anthropic,984200000000.0,Frontier
6,Kimi K3,Moonshot AI,979400000000.0,Frontier
7,GPT-5.6 Sol,OpenAI,520000000000.0,Frontier
8,Claude Opus 5.5 Code v1 DE,Anthropic,510000000000.0,High
9,Claude Fable 5.1 Code v1 DE,Anthropic,509999984739.0,High
10,GPT-6 Astra Codex Code v1 DE,OpenAI,509999969478.0,High
11,GPT-6 Astra Code v1 DE,OpenAI,509999954217.0,High
12,Claude Opus 5 Code v1 DE,Anthropic,509999938956.0,High
13,Kimi K3 Code v1 DE,Moonshot AI,509999923695.0,High
14,GPT-5.6 Sol Code v1 DE,OpenAI,509999908434.0,High
15,Claude Fable 5 Code v1 DE,Anthropic,509999898173.0,High
16,GPT-5.6 Sol Codex Code v1 DE,OpenAI,509999882912.0,High
17,Claude Opus 4.8 Code v1 DE,Anthropic,509999867651.0,High
18,Claude Mythos Preview Code v1 DE,Anthropic,509999852390.0,High
19,Claude Opus 4.7 Code v1 DE,Anthropic,509999837129.0,High
20,DeepSeek V4 Pro (0813) Code v1 DE,DeepSeek,509999821868.0,High
21,GLM-5.3 Code v1 EN,Z.ai,509999806607.0,High
22,GPT-6 Astra (Frühinfo) Code v1 EN,OpenAI,509999796346.0,High
23,Claude Opus 4.6 Code v1 EN,Anthropic,509999781085.0,High
24,Gemini 3.1 Pro Code v1 EN,Google,509999765824.0,High
25,GPT-5.4 (xHigh) Code v1 EN,OpenAI,509999750563.0,High
26,Claude Sonnet 5 Code v1 EN,Anthropic,509999735302.0,High
27,Qwen3.8 Max Code v1 EN,Alibaba,509999720041.0,High
28,Grok 4.5 Code v1 EN,xAI,509999709780.0,High
29,GPT-5.2 Codex Code v1 EN,OpenAI,509999694519.0,High
30,Gemini 3 Pro Code v1 EN,Google,509999679258.0,High
31,Claude Opus 4.5 Code v1 EN,Anthropic,509999663997.0,High
32,Gemini 3 Flash Code v1 EN,Google,509999648736.0,High
33,Claude Sonnet 4.5 Code v1 EN,Anthropic,509999633475.0,High
34,GPT-5.1 Codex Code v1 FR,OpenAI,509999618214.0,High
35,MiniMax M2.5 Code v1 FR,MiniMax,509999607953.0,High
36,GLM-5 / GLM-5.2 Code v1 FR,Z.ai,509999592692.0,High
37,Kimi K2.5 Code v1 FR,China-Labs,509999577431.0,High
38,DeepSeek V3.2 Code v1 FR,DeepSeek,509999562170.0,High
39,Claude Haiku 4.5 Code v1 FR,Anthropic,509999546909.0,High
40,Qwen3.5 Code v1 FR,Alibaba,509999531648.0,High
41,GPT-5.3 Codex Code v1 FR,OpenAI,509999521387.0,High
42,Qwen3.8 Flash-Next Code v1 FR,Alibaba,509999506126.0,High
43,Muse Spark 1.1 Code v1 FR,Meta,509999490865.0,High
44,Muse Spark 1.3 Code v1 FR,Meta,509999475604.0,High
45,Claude Opus 4.1 Code v1 FR,Anthropic,509999460343.0,High
46,GPT-5 Code v1 FR,OpenAI,509999445082.0,High
47,Gemini 3 Flash Preview Code v1 ES,Google,509999429821.0,High
48,DeepSeek V3.1 Code v1 ES,DeepSeek,509999419560.0,High
49,Qwen3 Coder 480B Code v1 ES,Alibaba,509999404299.0,High
50,Kimi K2 Thinking Code v1 ES,China-Labs,509999389038.0,High
51,Grok Code Fast 1 Code v1 ES,xAI,509999373777.0,High
52,GPT-5 mini Code v1 ES,OpenAI,509999358516.0,High
53,Claude Sonnet 4 Code v1 ES,Anthropic,509999343255.0,High
54,Gemini 2.5 Pro Code v1 ES,Google,509999332994.0,High
55,DeepSeek R1 Code v1 ES,DeepSeek,509999317733.0,High
56,Qwen3 235B Code v1 ES,Alibaba,509999302472.0,High
57,Llama 4 Maverick Code v1 ES,Meta,509999287211.0,High
58,Nemotron Super 49B Code v1 ES,NVIDIA,509999271950.0,High
59,Devstral Large Code v1 ES,Mistral,509999256689.0,High
60,Codestral 2 Code v1 ZH,Mistral,509999241428.0,High
61,GPT-4.1 Code v1 ZH,OpenAI,509999231167.0,High
62,o3 Code v1 ZH,OpenAI,509999215906.0,High
63,o1-pro Code v1 ZH,OpenAI,509999200645.0,High
64,Qwen 7B Code v1 ZH,Alibaba,509999185384.0,High
65,Qwen 14B Code v1 ZH,Alibaba,509999170123.0,High
66,Qwen 72B Code v1 ZH,Alibaba,509999154862.0,High
67,Qwen1.5 0.5B Code v1 ZH,Alibaba,509999139601.0,High
68,Qwen1.5 1.8B Code v1 ZH,Alibaba,509999129340.0,High
69,Qwen1.5 4B Code v1 ZH,Alibaba,509999114079.0,High
70,Qwen1.5 7B Code v1 ZH,Alibaba,509999098818.0,High
71,Qwen1.5 14B Code v1 ZH,Alibaba,509999083557.0,High
72,Qwen1.5 32B Code v1 ZH,Alibaba,509999068296.0,High
73,Qwen1.5 72B Code v1 JA,Alibaba,509999053035.0,High
74,Qwen1.5 110B Code v1 JA,Alibaba,509999042774.0,High
75,Qwen2 0.5B Code v1 JA,Alibaba,509999027513.0,High
76,Qwen2 1.5B Code v1 JA,Alibaba,509999012252.0,High
77,Qwen2 7B Code v1 JA,Alibaba,509998996991.0,High
